exclusion,re_measure,family,fusion,variant,regime,campaign_speedup,control_speedup,delta_rel_withheld,campaign_fused_us,control_fused_us,campaign_floor_us,control_floor_us,control_fused_ticks,campaign_p90_over_p10,control_p90_over_p10,campaign_drift_frac_fused,control_drift_frac_fused,campaign_order_gap_frac,control_order_gap_frac,campaign_speedup_over_ceiling,control_speedup_over_ceiling,measuring_window,card_mib_before,card_mib_after,evidence
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router + TopK,F4_topk,decode_bs512,1.8882,1.8119,-0.0404,141.76,127.01,36.91,39.46,3969.0,1.9986,1.8023,-0.3723,-0.2909,0.1761,0.1437,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router,F5,decode_bs512,1.4981,1.6107,0.0751,129.34,115.9,36.91,39.46,3622.0,1.921,1.8671,-0.3106,-0.3615,0.0595,0.0505,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router + TopK,F5_topk,decode_bs512,1.9714,1.9618,-0.0049,126.72,122.43,36.91,39.46,3826.0,2.0415,1.8914,-0.3592,-0.297,0.1634,0.1606,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f01,#1 o_proj + ResAdd,triton,decode_bs1024,0.9997,0.9811,-0.0186,650.66,682.88,36.91,39.46,21340.0,1.0405,1.0747,0.0357,0.0702,0.0003,0.0002,0.9675,0.9477,2026-08-11 14:39:58 - 2026-08-11 14:47:29,0,124498,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router,F4,decode_bs1024,1.3623,1.4069,0.0327,155.04,149.82,36.91,39.46,4682.0,1.7585,1.6006,-0.2427,-0.2605,0.0476,0.0434,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router + TopK,F4_topk,decode_bs1024,1.9541,1.859,-0.0487,149.41,141.86,36.91,39.46,4433.0,1.8611,1.878,-0.2839,-0.3312,0.1462,0.1275,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router,F5,decode_bs1024,1.5026,1.5511,0.0323,136.1,149.09,36.91,39.46,4659.0,1.9275,1.5583,-0.3025,-0.2333,0.0496,0.0431,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router + TopK,F5_topk,decode_bs1024,2.0593,1.9931,-0.0322,135.04,131.01,36.91,39.46,4094.0,1.9427,1.9173,-0.3223,-0.2898,0.1469,0.1342,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f01,#1 o_proj + ResAdd,triton,prefill_t2048,1.008,1.0177,0.0096,631.04,634.27,36.91,39.46,19821.0,1.0386,1.0495,0.0226,0.0307,0.0024,0.0005,0.9612,0.9677,2026-08-11 14:39:58 - 2026-08-11 14:47:29,0,124498,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router,F4,prefill_t2048,1.3792,1.3548,-0.0177,168.51,166.5,36.91,39.46,5203.0,1.6928,1.5982,-0.2541,-0.2052,0.0341,0.0356,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router + TopK,F4_topk,prefill_t2048,1.8948,1.8946,-0.0001,158.27,163.68,36.91,39.46,5115.0,1.9592,1.9041,-0.2237,-0.2762,0.1538,0.1522,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router,F5,prefill_t2048,1.4694,1.5046,0.0239,145.73,158.4,36.91,39.46,4950.0,1.6555,1.4283,-0.2164,-0.2165,0.0535,0.0485,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router + TopK,F5_topk,prefill_t2048,2.0781,2.0903,0.0059,148.61,163.81,36.91,39.46,5119.0,1.858,1.5472,-0.2436,-0.2173,0.1319,0.0949,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f01,#1 o_proj + ResAdd,triton,prefill_t8192,1.0128,1.0072,-0.0056,2534.94,2596.9,36.91,39.46,81153.0,1.0222,1.0137,0.0185,0.0109,0.0001,0.0002,0.9779,0.9704,2026-08-11 14:39:58 - 2026-08-11 14:47:29,0,124498,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 124498/143771 MiB at [hw after ] 2026-08-11 14:47:29 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 14:47:30 it reported pid 2916934 VLLM::Worker_TP0_EP0 (121.6 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router,F4,prefill_t8192,0.8265,0.7594,-0.0811,303.26,260.83,36.91,39.46,8151.0,1.5433,1.5327,-0.1692,-0.2468,0.004,0.0414,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#4 ResAdd + RMSNorm + Router + TopK,F4_topk,prefill_t8192,0.9651,0.8788,-0.0894,296.51,284.93,36.91,39.46,8904.0,1.5041,1.5272,-0.1953,-0.2304,0.2997,0.2814,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router,F5,prefill_t8192,1.1433,1.1053,-0.0332,239.81,238.21,36.91,39.46,7444.0,1.5907,1.7157,-0.1976,-0.1873,0.0378,0.024,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
TENANT-CONTAMINATED,YES,f04f05,#5 RMSNorm + Router + TopK,F5_topk,prefill_t8192,1.3843,1.4021,0.0129,247.94,237.98,36.91,39.46,7437.0,1.6812,1.671,-0.2497,-0.2547,0.0057,0.0678,,,2026-08-11 15:43:34 - 2026-08-11 15:51:16,0,63259,"measured on a card that was NOT idle, against a campaign baseline that was: the card held 63259/143771 MiB at [hw after ] 2026-08-11 15:51:16 against 0 MiB at [hw before] -- a neighbour arrived at an unrecorded point inside the measuring window, so no cell of this family can be exonerated; the driver named this family: at 2026-08-11 15:51:18 it reported pid 3254840 /usr/bin/python (61.8 GB) on GPU 0. Source: /home/shuhan/fusion/log/run_control_h200/driver.log."
